rcDate,rcNo,chulNo,hrNo,age,ageCond,budam,chaksunT,chaksunY,chaksun_6m,dusu,ilsu,ord1CntT,ord1CntY,ord2CntT,ord2CntY,ord3CntT,ord3CntY,prd,prizeCond,rank,rating,rcCntT,rcCntY,rcDist,sex,wgBudam,track,weather,waterRate,ord,rcTime,jkNo,trNo,owNo
20210108,1,1,43108,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1000,수,56.5,건조,맑음,3,11,66.1,80438,70128,118030
20210108,1,2,42271,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1000,거,52.5,건조,맑음,3,12,68.4,80601,70086,104133
20210108,1,3,42905,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1000,수,56.5,건조,맑음,3,9,65.9,80588,70129,112286
20210108,1,4,42445,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1000,암,54.5,건조,맑음,3,7,65.2,80532,70135,112274
20210108,1,5,42583,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,1,0,1000,거,56.5,건조,맑음,3,6,64.8,80421,70137,110050
20210108,1,6,42928,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1000,수,56.5,건조,맑음,3,5,63.9,80512,70127,65066
20210108,1,7,42219,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1000,암,54.5,건조,맑음,3,10,66.1,80381,70120,104123
20210108,1,8,42217,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1000,암,54.5,건조,맑음,3,3,63.7,80296,70223,106073
20210108,1,9,43233,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국(포),R0~0,국6등급,-,0,0,1000,수,53.5,건조,맑음,3,4,63.8,80600,70134,119006
20210108,1,10,42039,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1000,암,54.5,건조,맑음,3,1,63.3,80482,70140,65081
20210108,1,11,42803,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1000,암,54.5,건조,맑음,3,8,65.6,80402,70127,104081
20210108,1,12,42068,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1000,수,56.5,건조,맑음,3,2,63.4,80411,70134,105022
20210108,2,1,39732,5,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,1,0,1200,암,55.0,건조,맑음,3,12,87.2,80512,70132,65032
20210108,2,2,43167,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1200,암,54.5,건조,맑음,3,11,83.9,80564,70129,106112
20210108,2,3,43202,3,연령오픈,별정A,10560000,10560000,10560000,12,1,0,0,1,1,1,1,한국,R0~0,국6등급,-,4,4,1200,암,54.5,건조,맑음,3,7,77.8,80395,70136,117054
20210108,2,4,40993,4,연령오픈,별정A,12360000,12360000,10760000,12,1,1,1,0,0,1,1,한국,R0~0,국6등급,-,4,3,1200,암,55.0,건조,맑음,3,3,76.3,80376,70194,103007
20210108,2,5,41302,4,연령오픈,별정A,12300000,12300000,3500000,12,1,0,0,1,1,1,1,한국,R0~0,국6등급,-,9,8,1200,암,55.0,건조,맑음,3,5,77.5,80411,70141,104123
20210108,2,6,41511,4,연령오픈,별정A,11650000,10050000,8800000,12,1,0,0,1,1,0,0,한국,R0~0,국6등급,-,5,4,1200,암,55.0,건조,맑음,3,9,79.3,80546,70135,104127
20210108,2,7,40853,4,연령오픈,별정A,19480000,19480000,13880000,12,1,0,0,1,1,1,1,한국(포),R0~0,국6등급,-,5,5,1200,암,55.0,건조,맑음,3,1,75.9,80423,70129,112286
20210108,2,8,42428,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1200,암,54.5,건조,맑음,3,2,76.3,80431,70223,118013
20210108,2,9,43172,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,2,2,1200,암,54.5,건조,맑음,3,4,77.2,80438,70121,112274
20210108,2,10,43061,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,0,0,1200,암,54.5,건조,맑음,3,10,80.3,80568,70246,118018
20210108,2,11,42249,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,2,2,1200,암,54.5,건조,맑음,3,6,77.7,80402,70086,106025
20210108,2,12,40615,4,연령오픈,별정A,11910000,11910000,11910000,12,1,0,0,1,1,1,1,한국,R0~0,국6등급,-,5,5,1200,암,55.0,건조,맑음,3,8,77.9,80483,70141,104102
20210108,3,1,40973,4,연령오픈,별정A,1000000,1000000,1000000,12,1,0,0,0,0,0,0,한국(포),R0~0,국6등급,-,5,3,1400,거,57.0,건조,맑음,3,10,94.0,80434,70121,112292
20210108,3,2,42107,3,연령오픈,별정A,1250000,1250000,1250000,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,1,1,1400,수,56.5,건조,맑음,3,6,92.1,80438,70224,110056
20210108,3,3,41603,4,연령오픈,별정A,1250000,1250000,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,5,5,1400,암,55.0,건조,맑음,3,9,94.0,80411,70134,106114
20210108,3,4,42898,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,3,3,1400,수,56.5,건조,맑음,3,11,94.1,80551,70130,117002
20210108,3,5,35404,7,연령오픈,별정A,12240000,0,0,12,1,0,0,0,0,2,0,한국,R0~0,국6등급,-,46,7,1400,거,57.0,건조,맑음,3,12,94.7,80381,70140,110055
20210108,3,6,41097,4,연령오픈,별정A,2250000,2250000,1250000,12,1,0,0,0,0,0,0,한국(포),R0~0,국6등급,-,5,3,1400,거,57.0,건조,맑음,3,8,93.5,80403,70137,106289
20210108,3,7,42572,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,2,2,1400,수,56.5,건조,맑음,3,7,93.2,80591,70130,103007
20210108,3,8,40649,4,연령오픈,별정A,5500000,5500000,5500000,12,1,0,0,1,1,0,0,한국,R0~0,국6등급,-,11,7,1400,거,57.0,건조,맑음,3,1,90.6,80421,70140,106045
20210108,3,9,42012,3,연령오픈,별정A,0,0,0,12,1,0,0,0,0,0,0,한국,R0~0,국6등급,-,2,2,1400,수,56.5,건조,맑음,3,5,91.6,80401,70127,112292
